player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
410,Sebastian,Kehl,Sebastian Kehl,2014,16,sebastian-kehl,Germany,Fulda,Germany,1980-02-13,Defensive Midfield,Midfield,left,187,,,https://img.a.transfermarkt.technology/portrait/header/410-1521112298.jpg?lm=1,https://www.transfermarkt.co.uk/sebastian-kehl/profil/spieler/410,L1,Borussia Dortmund,1000000,9000000
411,Levan,Kobiashvili,Levan Kobiashvili,2013,44,levan-kobiashvili,UdSSR,Tiflis,Georgia,1977-07-10,Left Midfield,Midfield,left,183,,,https://img.a.transfermarkt.technology/portrait/header/411-1590417211.jpg?lm=1,https://www.transfermarkt.co.uk/levan-kobiashvili/profil/spieler/411,L1,Hertha BSC,400000,7500000
447,Oka,Nikolov,Oka Nikolov,2012,24,oka-nikolov,Germany,Erbach im Odenwald,North Macedonia,1974-05-25,Goalkeeper,Goalkeeper,right,188,,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/447-1493298121.jpg?lm=1,https://www.transfermarkt.co.uk/oka-nikolov/profil/spieler/447,L1,Eintracht Frankfurt FuÃŸball AG,350000,2000000
488,Gerhard,Tremmel,Gerhard Tremmel,2016,2288,gerhard-tremmel,Germany,MÃ¼nchen,Germany,1978-11-16,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/s_488_2288_2013_10_18_1.jpg?lm=1,https://www.transfermarkt.co.uk/gerhard-tremmel/profil/spieler/488,GB1,Swansea City,250000,2200000
532,Claudio,Pizarro,Claudio Pizarro,2019,86,claudio-pizarro,Peru,Callao,Peru,1978-10-03,Centre-Forward,Attack,right,184,,,https://img.a.transfermarkt.technology/portrait/header/532-1535124277.jpg?lm=1,https://www.transfermarkt.co.uk/claudio-pizarro/profil/spieler/532,L1,Sportverein Werder Bremen von 1899,400000,12000000
557,Simon,Jentzsch,Simon Jentzsch,2012,167,simon-jentzsch,Germany,DÃ¼sseldorf,Germany,1976-05-04,Goalkeeper,Goalkeeper,right,196,,,https://img.a.transfermarkt.technology/portrait/header/557-1578497521.jpg?lm=1,https://www.transfermarkt.co.uk/simon-jentzsch/profil/spieler/557,L1,FC Augsburg 1907,300000,4500000
568,Martin,Stranzl,Martin Stranzl,2015,18,martin-stranzl,Austria,GÃ¼ssing,Austria,1980-06-16,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/568-1437474557.jpg?lm=1,https://www.transfermarkt.co.uk/martin-stranzl/profil/spieler/568,L1,Borussia Verein fÃ¼r LeibesÃ¼bungen 1900 MÃ¶nchengladbach,1000000,4500000
597,Aleksandr,Hleb,Aleksandr Hleb,2016,2696,aleksandr-hleb,UdSSR,Minsk,Belarus,1981-05-01,Attacking Midfield,Midfield,,,,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/597-1565344980.png?lm=1,https://www.transfermarkt.co.uk/aleksandr-hleb/profil/spieler/597,RU1,PFK Krylya Sovetov Samara,150000,19000000
598,Timo,Hildebrand,Timo Hildebrand,2014,24,timo-hildebrand,Germany,Worms,Germany,1979-04-05,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/598-1540373444.jpg?lm=1,https://www.transfermarkt.co.uk/timo-hildebrand/profil/spieler/598,L1,Eintracht Frankfurt FuÃŸball AG,750000,10000000
643,Christian,Vander,Christian Vander,2012,86,christian-vander,Germany,Willich,Germany,1980-10-24,Goalkeeper,Goalkeeper,right,195,,,https://img.a.transfermarkt.technology/portrait/header/s_643_86_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/christian-vander/profil/spieler/643,L1,Sportverein Werder Bremen von 1899,100000,600000
670,Martin,Petrov,Martin Petrov,2012,714,martin-petrov,Bulgaria,Vratsa,Bulgaria,1979-01-15,Left Winger,Attack,,,,IFM,https://img.a.transfermarkt.technology/portrait/header/670-1656218742.png?lm=1,https://www.transfermarkt.co.uk/martin-petrov/profil/spieler/670,ES1,RCD Espanyol Barcelona,400000,12000000
690,Ivan,Klasnic,Ivan Klasnic,2012,39,ivan-klasnic,Germany,Hamburg,Croatia,1980-01-29,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/690-1684327921.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-klasnic/profil/spieler/690,L1,1. FuÃŸball- und Sportverein Mainz 05,500000,12000000
691,Simon,Rolfes,Simon Rolfes,2014,15,simon-rolfes,Germany,IbbenbÃ¼ren,Germany,1982-01-21,Defensive Midfield,Midfield,left,191,,,https://img.a.transfermarkt.technology/portrait/header/691-1408096910.jpg?lm=1,https://www.transfermarkt.co.uk/simon-rolfes/profil/spieler/691,L1,Bayer 04 Leverkusen FuÃŸball,2000000,9500000
735,Giuseppe,Gemiti,Giuseppe Gemiti,2013,1210,giuseppe-gemiti,Germany,Frankfurt am Main,Germany,1981-05-03,Left-Back,Defender,left,178,,,https://img.a.transfermarkt.technology/portrait/header/735-1443271233.jpg?lm=1,https://www.transfermarkt.co.uk/giuseppe-gemiti/profil/spieler/735,IT1,US Livorno 1915,75000,1250000
755,Deniz,Baris,Deniz Baris,2013,589,deniz-baris,Turkey,Erzincan,Turkey,1977-07-02,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/deniz-baris/profil/spieler/755,TR1,Antalyaspor,300000,2000000
773,David,Jarolim,David Jarolim,2012,14171,david-jarolim,CSSR,ÄŒÃ¡slav,Czech Republic,1979-05-17,Central Midfield,Midfield,right,174,,,https://img.a.transfermarkt.technology/portrait/header/s_773_41_2010_2.jpg?lm=1,https://www.transfermarkt.co.uk/david-jarolim/profil/spieler/773,FR1,Thonon Ã‰vian Grand GenÃ¨ve FC,250000,8500000
823,Hanno,Balitsch,Hanno Balitsch,2013,4,hanno-balitsch,Germany,Darmstadt,Germany,1981-01-02,Defensive Midfield,Midfield,right,182,,Siebert & Backs,https://img.a.transfermarkt.technology/portrait/header/s_823_4_2012_5.jpg?lm=1,https://www.transfermarkt.co.uk/hanno-balitsch/profil/spieler/823,L1,1.FC Nuremberg,200000,4000000
831,Selim,Teber,Selim Teber,2012,1506,selim-teber,Germany,Frankenthal,Germany,1981-03-07,Central Midfield,Midfield,right,187,,,https://img.a.transfermarkt.technology/portrait/header/s_831_1506_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/selim-teber/profil/spieler/831,TR1,Kardemir KarabÃ¼kspor,175000,2500000
837,Thorben,Marx,Thorben Marx,2014,18,thorben-marx,Germany,Berlin,Germany,,Defensive Midfield,Midfield,right,184,,Neubauer 13 GmbH,https://img.a.transfermarkt.technology/portrait/header/837-1406669543.jpg?lm=1,https://www.transfermarkt.co.uk/thorben-marx/profil/spieler/837,L1,Borussia Verein fÃ¼r LeibesÃ¼bungen 1900 MÃ¶nchengladbach,300000,2500000
886,Jens,Langeneke,Jens Langeneke,2012,38,jens-langeneke,Germany,Lippstadt,Germany,1977-03-29,Centre-Back,Defender,right,185,,,https://img.a.transfermarkt.technology/portrait/header/s_886_38_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/jens-langeneke/profil/spieler/886,L1,Fortuna DÃ¼sseldorf,100000,800000
892,Heinz,MÃ¼ller,Heinz MÃ¼ller,2013,39,heinz-muller,Germany,Frankfurt am Main,Germany,1978-05-30,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/892-1571139995.jpg?lm=1,https://www.transfermarkt.co.uk/heinz-muller/profil/spieler/892,L1,1. FuÃŸball- und Sportverein Mainz 05,200000,2250000
933,Ugur,Inceman,Ugur Inceman,2015,2293,ugur-inceman,Germany,Aachen,Turkey,1981-05-25,Central Midfield,Midfield,right,183,,,https://img.a.transfermarkt.technology/portrait/header/933-1483915405.png?lm=1,https://www.transfermarkt.co.uk/ugur-inceman/profil/spieler/933,TR1,Konyaspor,50000,3000000
992,Christian,Weber,Christian Weber,2012,38,christian-weber,Germany,SaarbrÃ¼cken,Germany,1983-09-15,Right-Back,Defender,right,175,,,https://img.a.transfermarkt.technology/portrait/header/992-1406701002.jpg?lm=1,https://www.transfermarkt.co.uk/christian-weber/profil/spieler/992,L1,Fortuna DÃ¼sseldorf,50000,1500000
1073,Manuel,Friedrich,Manuel Friedrich,2013,16,manuel-friedrich,Germany,Bad Kreuznach,Germany,1979-09-13,Centre-Back,Defender,,,,Dr. Michael Becker,https://img.a.transfermarkt.technology/portrait/header/s_1073_15_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/manuel-friedrich/profil/spieler/1073,L1,Borussia Dortmund,500000,5500000
1075,Andriy,Voronin,Andriy Voronin,2013,121,andriy-voronin,UdSSR,Odessa,Ukraine,1979-07-21,Second Striker,Attack,,,,Andrei Golovash,https://img.a.transfermarkt.technology/portrait/header/1075-1461328176.jpg?lm=1,https://www.transfermarkt.co.uk/andriy-voronin/profil/spieler/1075,RU1,FK Dinamo Moskva,500000,8000000
1083,Julian,de GuzmÃ¡n,Julian de GuzmÃ¡n,2013,128,julian-de-guzman,Canada,"Toronto, Ontario",Canada,1981-03-25,Defensive Midfield,Midfield,,,,,https://img.a.transfermarkt.technology/portrait/header/s_1083_109_2013_06_10_1.jpg?lm=1,https://www.transfermarkt.co.uk/julian-de-guzman/profil/spieler/1083,GR1,AO Xanthi,250000,5000000
1094,Emanuel,Pogatetz,Emanuel Pogatetz,2013,4,emanuel-pogatetz,Austria,Graz,Austria,1983-01-16,Centre-Back,Defender,left,191,,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/1094-1500910107.jpg?lm=1,https://www.transfermarkt.co.uk/emanuel-pogatetz/profil/spieler/1094,L1,1.FC Nuremberg,200000,6000000
1095,Peer,Kluge,Peer Kluge,2013,44,peer-kluge,East Germany (GDR),Frankenberg,Germany,1980-11-22,Defensive Midfield,Midfield,,,,Neubauer 13 GmbH,https://img.a.transfermarkt.technology/portrait/header/1095-1438096004.jpg?lm=1,https://www.transfermarkt.co.uk/peer-kluge/profil/spieler/1095,L1,Hertha BSC,125000,4000000
1116,Thomas,Kleine,Thomas Kleine,2012,65,thomas-kleine,Germany,Wermelskirchen,Germany,1977-12-28,Centre-Back,Defender,right,191,,,https://img.a.transfermarkt.technology/portrait/header/s_1116_65_2013_07_16_1.jpg?lm=1,https://www.transfermarkt.co.uk/thomas-kleine/profil/spieler/1116,L1,SpVgg Greuther FÃ¼rth,250000,2000000
1122,Sven,Neuhaus,Sven Neuhaus,2013,41,sven-neuhaus,Germany,Essen,Germany,1978-04-04,Goalkeeper,Goalkeeper,,,,Soccer-Concept AG,https://img.a.transfermarkt.technology/portrait/header/s_1122_41_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/sven-neuhaus/profil/spieler/1122,L1,Hamburger SV,200000,900000
1126,Matthias,Lehmann,Matthias Lehmann,2017,3,matthias-lehmann,Germany,Ulm,Germany,1983-05-28,Defensive Midfield,Midfield,,,,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/1126-1531736056.jpg?lm=1,https://www.transfermarkt.co.uk/matthias-lehmann/profil/spieler/1126,L1,1. FuÃŸball-Club KÃ¶ln,250000,2500000
1139,Nikolce,Noveski,Nikolce Noveski,2014,39,nikolce-noveski,Jugoslawien (SFR),Bitola,North Macedonia,1979-04-28,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/1139-1406741263.jpg?lm=1,https://www.transfermarkt.co.uk/nikolce-noveski/profil/spieler/1139,L1,1. FuÃŸball- und Sportverein Mainz 05,500000,3000000
1144,Christofer,Heimeroth,Christofer Heimeroth,2017,18,christofer-heimeroth,Germany,Unna,Germany,1981-08-01,Goalkeeper,Goalkeeper,right,194,,,https://img.a.transfermarkt.technology/portrait/header/1144-1501486049.jpg?lm=1,https://www.transfermarkt.co.uk/christofer-heimeroth/profil/spieler/1144,L1,Borussia Verein fÃ¼r LeibesÃ¼bungen 1900 MÃ¶nchengladbach,100000,1300000
1150,Raphael,SchÃ¤fer,Raphael SchÃ¤fer,2013,4,raphael-schafer,Poland,KÄ™dzierzyn-KoÅºle,Germany,1979-01-30,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/1150-1470048142.jpg?lm=1,https://www.transfermarkt.co.uk/raphael-schafer/profil/spieler/1150,L1,1.FC Nuremberg,200000,5000000
1161,Javier,Zanetti,Javier Zanetti,2013,46,javier-zanetti,Argentina,Dock Sud,Argentina,1973-08-10,Right-Back,Defender,right,178,,,https://img.a.transfermarkt.technology/portrait/header/1161-1463994546.jpg?lm=1,https://www.transfermarkt.co.uk/javier-zanetti/profil/spieler/1161,IT1,Football Club Internazionale Milano S.p.A.,1000000,11000000
1197,Peter,Graulund,Peter Graulund,2012,678,peter-graulund,Denmark,BrÃ¸rup,Denmark,1976-09-20,Centre-Forward,Attack,,,,Nicolai Mallet,https://img.a.transfermarkt.technology/portrait/header/1197-1490864673.jpg?lm=1,https://www.transfermarkt.co.uk/peter-graulund/profil/spieler/1197,DK1,Aarhus Gymnastik Forening,250000,1100000
1257,Michael,Ratajczak,Michael Ratajczak,2019,127,michael-ratajczak,Germany,Herne,Germany,1982-04-16,Goalkeeper,Goalkeeper,right,188,,,https://img.a.transfermarkt.technology/portrait/header/1257-1531727028.jpg?lm=1,https://www.transfermarkt.co.uk/michael-ratajczak/profil/spieler/1257,L1,SC Paderborn 07,50000,1000000
1277,Clemens,Fritz,Clemens Fritz,2016,86,clemens-fritz,East Germany (GDR),Erfurt,Germany,1980-12-07,Right-Back,Defender,right,183,,,https://img.a.transfermarkt.technology/portrait/header/1277-1470745177.jpg?lm=1,https://www.transfermarkt.co.uk/clemens-fritz/profil/spieler/1277,L1,Sportverein Werder Bremen von 1899,750000,7000000
1321,Jermaine,Jones,Jermaine Jones,2013,114,jermaine-jones,Germany,Frankfurt am Main,United States,1981-11-03,Defensive Midfield,Midfield,both,184,,,https://img.a.transfermarkt.technology/portrait/header/1321-1587709287.jpg?lm=1,https://www.transfermarkt.co.uk/jermaine-jones/profil/spieler/1321,TR1,BeÅŸiktaÅŸ Jimnastik KulÃ¼bÃ¼,600000,8000000
1323,Martin,Amedick,Martin Amedick,2012,24,martin-amedick,Germany,Paderborn,Germany,1982-09-06,Centre-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/1323-1544181603.jpg?lm=1,https://www.transfermarkt.co.uk/martin-amedick/profil/spieler/1323,L1,Eintracht Frankfurt FuÃŸball AG,300000,2750000
1327,Alou,Diarra,Alou Diarra,2016,1159,alou-diarra,France,Villepinte,France,1981-07-15,Defensive Midfield,Midfield,right,189,,,https://img.a.transfermarkt.technology/portrait/header/s_1327_379_2013_09_26_1.jpg?lm=1,https://www.transfermarkt.co.uk/alou-diarra/profil/spieler/1327,FR1,AS Nancy-Lorraine,250000,14500000
1331,Kevin,Kuranyi,Kevin Kuranyi,2015,533,kevin-kuranyi,Brazil,Rio de Janeiro,Germany,1982-03-02,Centre-Forward,Attack,,,,,https://img.a.transfermarkt.technology/portrait/header/1331-1438252638.jpg?lm=1,https://www.transfermarkt.co.uk/kevin-kuranyi/profil/spieler/1331,L1,TSG 1899 Hoffenheim FuÃŸball-Spielbetriebs GmbH,1250000,12000000
1335,Steven,Cherundolo,Steven Cherundolo,2013,42,steven-cherundolo,United States,"Rockford, Illinois",United States,1979-02-19,Right-Back,Defender,right,172,,ARP Sportmarketing,https://img.a.transfermarkt.technology/portrait/header/1335-1493297939.jpg?lm=1,https://www.transfermarkt.co.uk/steven-cherundolo/profil/spieler/1335,L1,Hannover 96,750000,4000000
1363,Christian,Wetklo,Christian Wetklo,2015,33,christian-wetklo,Germany,Marl,Germany,1980-01-11,Goalkeeper,Goalkeeper,right,190,,extratime GmbH,https://img.a.transfermarkt.technology/portrait/header/s_1363_39_2013_07_09_1.jpg?lm=1,https://www.transfermarkt.co.uk/christian-wetklo/profil/spieler/1363,L1,FC Schalke 04,50000,1000000
1368,Guy,Demel,Guy Demel,2015,1519,guy-demel,France,Orsay,Cote d'Ivoire,1981-06-13,Right-Back,Defender,,,,FAME US Sport Agency,https://img.a.transfermarkt.technology/portrait/header/s_1368_41_2010_1.jpg?lm=1,https://www.transfermarkt.co.uk/guy-demel/profil/spieler/1368,SC1,Dundee United FC,150000,6000000
1381,Maik,Franz,Maik Franz,2013,44,maik-franz,East Germany (GDR),Merseburg,Germany,1981-08-05,Centre-Back,Defender,,,,Neubauer 13 GmbH,https://img.a.transfermarkt.technology/portrait/header/1381-1594636816.jpg?lm=1,https://www.transfermarkt.co.uk/maik-franz/profil/spieler/1381,L1,Hertha BSC,300000,3500000
1397,Michael,Owen,Michael Owen,2012,512,michael-owen,England,Chester,England,1979-12-14,Centre-Forward,Attack,both,173,,,https://img.a.transfermarkt.technology/portrait/header/1397-1476361136.jpg?lm=1,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,GB1,Stoke City,1000000,30000000
1423,Lars,Jacobsen,Lars Jacobsen,2015,855,lars-jacobsen,Denmark,Odense,Denmark,1979-09-20,Right-Back,Defender,both,181,,NSG ApS,https://img.a.transfermarkt.technology/portrait/header/s_1423_190_2013_10_24_1.jpg?lm=1,https://www.transfermarkt.co.uk/lars-jacobsen/profil/spieler/1423,FR1,EA Guingamp,500000,2500000
1426,,Cacau,Cacau,2013,79,cacau,Brazil,Santo AndrÃ©,Germany,1981-03-27,Centre-Forward,Attack,right,179,,NESS & Network,https://img.a.transfermarkt.technology/portrait/header/1426-1461328101.jpg?lm=1,https://www.transfermarkt.co.uk/cacau/profil/spieler/1426,L1,Verein fÃ¼r Bewegungsspiele Stuttgart 1893,350000,8000000
1428,Mike,Hanke,Mike Hanke,2013,60,mike-hanke,Germany,Hamm,Germany,1983-11-05,Centre-Forward,Attack,right,185,,,https://img.a.transfermarkt.technology/portrait/header/1428-1461328392.jpg?lm=1,https://www.transfermarkt.co.uk/mike-hanke/profil/spieler/1428,L1,Sport-Club Freiburg,1000000,5000000
1443,Christian,Poulsen,Christian Poulsen,2014,190,christian-poulsen,Denmark,AsnÃ¦s,Denmark,1980-02-28,Defensive Midfield,Midfield,right,181,,,https://img.a.transfermarkt.technology/portrait/header/s_1443_610_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/christian-poulsen/profil/spieler/1443,DK1,Football Club KÃ¸benhavn,400000,12000000
1474,Tim,Wiese,Tim Wiese,2013,533,tim-wiese,Germany,Bergisch Gladbach,Germany,1981-12-17,Goalkeeper,Goalkeeper,,,,,https://img.a.transfermarkt.technology/portrait/header/1474-1588081882.jpg?lm=1,https://www.transfermarkt.co.uk/tim-wiese/profil/spieler/1474,L1,TSG 1899 Hoffenheim FuÃŸball-Spielbetriebs GmbH,500000,10000000
1496,Heiko,Butscher,Heiko Butscher,2012,24,heiko-butscher,Germany,Leutkirch im AllgÃ¤u,Germany,1980-07-28,Centre-Back,Defender,both,189,,,https://img.a.transfermarkt.technology/portrait/header/1496-1416604271.jpg?lm=1,https://www.transfermarkt.co.uk/heiko-butscher/profil/spieler/1496,L1,Eintracht Frankfurt FuÃŸball AG,200000,2250000
1532,Wesley,Sonck,Wesley Sonck,2012,28643,wesley-sonck,Belgium,Ninove,Belgium,1978-08-09,,Missing,right,174,,,https://img.a.transfermarkt.technology/portrait/header/s_1532_515_2013_10_10_1.jpg?lm=1,https://www.transfermarkt.co.uk/wesley-sonck/profil/spieler/1532,BE1,SK Beveren,200000,8000000
1560,Youssef,El Akchaoui,Youssef El Akchaoui,2012,306,youssef-el-akchaoui,Netherlands,Dordrecht,Morocco,1981-02-18,Left-Back,Defender,,,,,https://img.a.transfermarkt.technology/portrait/header/1560-1649145914.jpg?lm=1,https://www.transfermarkt.co.uk/youssef-el-akchaoui/profil/spieler/1560,NL1,Sportclub Heerenveen,350000,1750000
1565,Alexander,Meier,Alexander Meier,2017,24,alexander-meier,Germany,Buchholz in der Nordheide,Germany,1983-01-17,Second Striker,Attack,right,196,,,https://img.a.transfermarkt.technology/portrait/header/1565-1502271996.jpg?lm=1,https://www.transfermarkt.co.uk/alexander-meier/profil/spieler/1565,L1,Eintracht Frankfurt FuÃŸball AG,300000,4500000
1568,Stefan,Reisinger,Stefan Reisinger,2012,38,stefan-reisinger,Germany,Landshut,Germany,1981-09-14,Centre-Forward,Attack,right,185,,,https://img.a.transfermarkt.technology/portrait/header/s_1568_38_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/stefan-reisinger/profil/spieler/1568,L1,Fortuna DÃ¼sseldorf,500000,1500000
1572,Andreas,Wolf,Andreas Wolf,2013,162,andreas-wolf,UdSSR,Leninabad,Germany,1982-06-12,Centre-Back,Defender,right,182,,,https://img.a.transfermarkt.technology/portrait/header/1572-1686839710.jpg?lm=1,https://www.transfermarkt.co.uk/andreas-wolf/profil/spieler/1572,FR1,Association sportive de Monaco Football Club,500000,5000000
